src,in_src,out_src,dst,in_dst,out_dst,depth,bound,reachable,runtime
5781117,8,344,33382946,59,148,2,2,False,11
27878206,52,145,6831454,146,85,4,4,True,1200
46701397,6,113,55757679,68,129,2,2,False,9
26997283,65,167,782665,262,117,3,4,True,721
199317,101,92,20351735,150,79,1,1,False,4
39902524,4,195,56066305,2,307,2,2,False,7
28122,325,137,59633442,0,94,2,2,False,8
35022537,20,85,12773864,7,161,3,3,False,33
14840952,12,105,61394514,1,87,4,4,True,232
368004,349,85,745249,367,122,3,3,True,358
26496776,130,91,324943,97,88,1,1,False,4
425339,51,88,383510,98,93,3,4,True,405
706324,205,104,4180668,74,103,3,3,False,303
1800989,23,79,399441,106,94,1,1,False,5
26373267,33,80,10648952,38,82,3,3,False,186
303961,82,108,726259,15,82,3,3,False,66
6262131,79,99,20781999,1702,330,3,3,True,469
34264379,27,115,1447921,18,107,2,2,False,8
1730464,407,448,19104222,49,120,3,3,False,194
1187183,35,285,30254741,53,117,1,1,False,5
46189591,9,93,47818661,1330,92,3,3,False,391
1021554,187,124,89359,360,77,2,2,False,11
371940,309,178,36132793,3,406,1,1,False,4
104697,3464,855,337090,472,237,3,3,True,2008
148787,233,150,589769,40,90,4,4,True,890
4189657,43,86,15477295,21,108,1,1,False,5
366699,196,222,34936003,123,147,1,1,False,5
95667,162,125,404994,94,165,4,4,True,958
10664240,53,87,55971879,66,129,4,4,True,685
12835794,20,96,15284934,23,96,2,2,False,8
10736385,3,169,437566,54,106,1,1,False,5
54799090,1,1263,24808068,15,99,4,4,True,888
2528354,78,98,25945585,120,318,3,3,False,421
11677691,101,1280,2094855,221,79,3,3,True,956
32858081,11,82,259655,537,165,3,3,True,277
15318027,13,77,27340231,23,201,2,2,False,7
439346,37,95,19761,81,127,1,1,False,5
16591942,51,267,60949962,68,86,1,1,False,5
530801,33,82,60525,17,381,4,4,False,399
57673071,3,118,3104642,25,108,3,3,False,104
20876042,15,530,28690531,86,85,3,3,False,381
602080,18,136,237789,1417,439,2,2,False,14
3035543,8,80,642755,328,97,2,2,False,9
12048760,1,84,2744606,223,86,3,3,True,327
82086,71,562,78598,852,255,3,3,False,2189
10309663,81,144,3307045,173,91,3,3,False,648
32218953,1,93,18984580,343,92,2,2,False,10
2422845,232,551,14484423,24,107,4,4,True,2466
7523623,27,78,966255,86,78,1,1,False,4
8057184,178,125,35733942,64,96,1,1,False,4
2500243,3,138,52286785,21,167,1,1,False,4
37610142,10,82,1558708,115,79,2,2,False,8
24231065,8,101,10076811,155,156,3,3,False,555
2546773,55,105,24021,242,105,2,2,False,9
51804410,62,161,34630009,9,82,2,2,False,8
1202811,25,139,29529070,52,94,3,4,True,254
5975556,36,133,19376281,51,83,4,4,True,793
13762998,17,83,2357394,13,78,3,3,False,58
33720916,3,472,1844435,101,236,1,1,False,7
288151,198,109,16299187,142,78,2,2,False,9
56483453,25,107,46393596,150,113,3,3,False,409
322159,198,243,1770756,312,299,1,1,False,5
10515516,97,136,12019392,36,79,2,2,False,8
166758,127,96,33629430,3,295,1,1,False,4
146203,586,109,3296395,43,156,2,2,True,8
3532317,239,214,4020685,678,389,3,4,True,1056
434166,28,92,322471,82,86,2,2,False,9
9345011,45,127,554718,106,96,4,4,True,981
3393801,60,79,58985478,85,126,3,3,False,336
58299,458,121,1910000,39,85,3,3,False,221
3779135,52,88,612826,39,95,4,4,True,599
4983648,1,83,31293591,11,129,2,2,False,7
27440962,20,163,52104149,5,80,4,4,False,95
55804901,10,169,41339201,20,116,2,2,False,8
792308,125,85,9588118,63,86,4,4,True,689
413157,57,146,2622776,47,83,2,2,False,8
39010402,46,193,196290,140,171,2,2,False,9
26238206,395,94,10582090,113,108,3,3,False,406
3735329,20,87,36066637,105,91,1,1,False,5
232669,1750,445,383175,176,159,2,3,True,11
32488372,288,223,51804660,6,262,3,3,False,30
540083,78,199,15666572,37,303,2,2,False,9
50677819,1,524,20489684,25,172,3,3,False,37
31026478,45,247,21264821,16,85,4,4,False,812
19677944,62,85,3485413,96,268,3,3,False,422
1310032,69,136,29716910,114,79,2,2,False,8
72855,3472,594,529998,233,86,1,1,False,7
14778294,12,110,3078844,39,78,1,1,False,4
63995904,40,87,147719,382,401,1,1,False,4
916971,275,129,14987683,2,81,2,2,False,8
29971940,1,195,1560672,50,147,2,2,False,8
37288967,17,150,57112635,7,198,4,4,True,862
1148074,5,292,2230321,43,89,3,3,False,224
46178187,2,78,32561072,21,99,4,4,False,471
2421510,14,130,571462,528,97,2,2,False,11
38539056,7,84,26166389,8,320,2,2,False,8
5744175,7,97,5225781,40,89,2,2,False,9
51523541,1,226,126145,349,88,2,2,False,11
36766650,7,109,1933238,29,81,4,4,True,576
19856525,19,113,1570775,97,106,4,4,True,924
6173507,23,148,33935495,5,128,1,1,False,5
7678854,3,79,879002,241,144,2,2,False,9
57412021,28,85,150033,325,148,1,1,False,4
17747103,53,114,41473042,7,95,3,3,False,35
1343166,26,78,216474,39,137,1,1,False,4
6458390,9,93,61167761,17,110,2,2,False,7
43318894,0,302,11995302,25,77,4,4,True,1103
1291680,89,86,953301,51,100,4,4,False,549
20902894,12,184,26891034,44,89,4,4,True,1099
9482410,19,84,33390234,29,177,2,2,False,8
37974459,11,77,411551,114,111,1,1,False,5
41556215,98,129,1660177,64,131,3,3,False,286
1001596,76,182,11470962,28,96,3,4,True,119
36249848,9,116,18787228,6,83,3,3,False,30
325142,273,152,53964406,10,224,2,2,False,8
2495045,12,121,4816797,12,133,2,2,False,7
7597,18,122,30855690,361,217,3,3,False,525
128390,699,167,18389087,21,91,1,1,False,5
2348098,64,86,65230712,60,82,3,3,False,254
2556976,259,283,37539855,6,123,1,1,False,5
156369,82,106,166508,105,137,2,2,False,8
192196,227,215,12985851,13,209,3,3,False,67
34844919,1,87,27648,180,143,4,4,True,1143
3768121,33,105,26779875,51,85,3,3,False,230
3857702,227,225,4357851,37,95,4,4,True,857
23824,532,268,1037488,126,85,3,3,False,504
2129772,11,79,2098292,28,89,1,1,False,4
34484,2344,467,838126,89,114,2,2,False,10
54961588,34,115,50114564,27,145,2,2,False,7
39029040,5,160,4732795,291,276,3,4,True,521
18764354,50,126,1842246,196,101,3,3,False,372
19384101,4,145,23882925,25,104,1,1,False,4
146730,1682,104,63118039,1,84,3,3,False,11
9901586,6,101,4946374,74,88,4,4,True,763
9086178,256,149,107666,129,112,3,3,True,548
7856946,70,128,56388897,0,154,3,3,False,8
30817658,2,105,65354720,0,164,1,1,False,5
57314564,10,112,11614672,140,211,2,2,False,8
1258137,42,96,2392931,73,117,1,1,False,5
31816668,19,83,13440439,35,77,1,1,False,4
3664395,99,125,651493,163,94,4,4,True,1239
435828,37,137,16536958,163,227,3,3,False,602
13337670,4,168,1528028,96,108,3,3,True,418
24007,797,216,274386,233,148,3,3,True,920
311838,177,133,145796,175,91,3,3,True,553
4689460,18360,484,3966176,52,121,1,1,False,6
11737832,23,162,125041,47,117,4,4,True,970
45323128,73,82,398025,357,149,2,2,False,9
63990342,0,96,860760,349,180,3,4,True,429
1768259,52,100,38300245,57,84,1,1,False,4
26096318,16,89,6419226,24,243,3,3,True,101
44083740,97,144,495272,65,90,2,2,False,8
114719,72,248,165550,150,88,1,1,False,6
2018704,27,111,411855,202,102,2,2,False,8
2364123,19,212,1085347,214,105,2,2,False,10
4028120,4,96,22859621,5,80,4,4,True,385
20775375,28,116,84349,252,132,3,3,True,571
45579,5256,625,20503512,38,110,1,1,False,7
11784870,15,88,12352275,41,90,3,3,False,180
32437150,59,91,2645586,60,86,3,3,False,249
25730574,3,791,28250662,8,195,2,2,False,11
25791967,9,111,887670,1552,535,3,3,False,540
47274770,17,96,65056957,3,101,4,4,False,440
1466489,239,110,22139241,437,170,3,3,True,479
3966982,154,101,1071548,267,192,2,2,False,9
1661910,193,85,7322120,20,79,4,4,True,424
67703321,15,92,54820486,3,87,1,1,False,5
58520602,53,99,45026467,75,207,4,4,True,696
33472433,109,116,22146136,72,82,4,4,True,841
464907,48,88,49609323,64,80,1,1,False,4
2146686,64,144,42601613,2,414,4,4,True,333
30865562,50,97,3382910,27,80,2,2,False,8
5446868,10,93,34505379,31,106,1,1,False,4
14542592,35,78,54197094,1,982,2,2,False,8
50480537,20,103,1049596,34,87,4,4,True,629
9382007,35,247,2765937,36,95,3,3,False,176
1417436,188,93,2982804,115,146,4,4,True,947
32717180,3,224,22633081,52,949,1,1,False,5
2033995,77,98,104650,109,226,4,4,True,905
207953,254,179,38952936,57,110,1,1,False,5
14458928,34,248,1097591,68,82,2,2,False,9
520448,637,153,28837,139,83,1,1,False,5
185877,79,151,3497944,209,203,4,4,True,1514
26040784,12,82,48163605,18,160,3,3,False,74
2188767,77,144,33871515,42,88,1,1,False,5
20694601,31,78,35849069,10,229,4,4,False,113
142839,615,154,2662280,11,79,2,2,False,8
32655797,73,93,61198650,0,78,4,4,False,8
4237071,50,106,596532,62,91,3,3,True,267
3222418,27,112,54421647,264,98,2,2,False,8
262147,117,94,36585213,36,154,1,1,False,5
31474,1349,271,823021,32,208,3,3,False,136
30054435,10,122,8299803,28,149,4,4,True,253
1721631,26,79,46641469,12,132,1,1,False,5
12923673,19,133,63745723,3,87,1,1,False,4
1411281,37,80,46986488,19,78,1,1,False,4
67781868,27,97,31398266,14,176,4,4,False,464
13032011,7,84,13001050,26,147,2,2,False,8
96672,134,94,36068930,9,84,1,1,False,4
5686348,241,220,2080485,74,85,2,2,False,9
36280424,2,264,10663518,12,79,4,4,False,980
562076,16,98,32849327,0,215,3,3,False,8
12159986,20,85,36676055,70,80,2,2,False,7
13622880,6,415,48965910,19,197,1,1,False,6
1314319,89,126,2080973,59,116,1,1,False,5
1165170,11,136,36875750,3,134,3,3,False,18
21110575,17,363,866706,476,123,2,2,False,12
58205225,2,892,372315,2150,488,2,2,False,16
47262488,24,114,406622,269,114,3,3,True,489
22860589,446,155,91857,205,118,3,3,False,706
5828396,34,153,1954875,526,192,2,2,False,10
1738019,29,85,63204529,23,91,3,3,False,104
3407522,60,82,177123,88,79,3,3,False,352
62724317,58,137,273463,490,314,1,1,False,4
45382905,1,91,25243094,57,112,4,4,True,663
593532,30,94,7885177,98,120,4,4,True,884
443702,71,92,28115597,65,214,1,1,False,5
39417686,127,147,32250175,62,165,2,2,False,9
36567281,80,144,675018,215,167,2,2,False,9
5789164,29,111,4254144,1873,394,3,3,True,540
45459495,205,154,103273,195,121,3,3,False,694
65770543,35,254,1131323,34,93,3,3,False,142
6688792,336,205,31410048,26,98,2,2,False,9
2241876,677,200,23213,863,147,2,2,False,13
17279994,34,78,41992470,104,119,4,4,True,802
94541,165,136,175864,116,107,3,4,True,529
23273577,29,86,46803396,0,84,4,4,False,8
12553636,56,107,11847728,11,78,1,1,False,4
2854621,82,318,9347404,25,389,3,4,True,102
6111583,63,228,63713010,26,136,1,1,False,5
20298746,6,120,15085023,20,77,1,1,False,4
21553083,37,184,409341,598,392,3,3,True,806
