src,in_src,out_src,dst,in_dst,out_dst,bound,runtime,profit
7088502,69,86,178407,41,93,3,194,2.33
28738,387,99,6827148,56,77,4,729,1.17
654696,442,306,4464517,42,119,3,182,1.28
8920046,13,216,20766780,15,80,3,80,1.74
29577486,23,102,53732108,17,86,3,80,0.86
28268234,24,80,1919903,369,327,2,11,3.28
345124,49,94,9570320,41,115,3,228,2.35
14237205,12,266,583906,18,97,2,10,0.84
58549925,3,79,3784508,95,120,4,775,0.56
15046398,56,126,2481280,63,98,4,994,1.21
12452223,15,93,7467047,3,138,1,5,1.42
1910000,39,85,48234602,52,94,4,638,1.44
3969661,11,218,1673552,67,108,3,321,1.11
10755544,75,84,48901589,8,415,2,8,2.2
40416723,31,92,15097411,52,138,4,708,0.06
40671956,85,86,555793,56,78,4,690,2.64
25467089,477,150,49806656,31,78,3,119,0.6
627432,44,89,168617,969,294,4,4697,2.49
5138867,30,96,5526926,22,83,3,87,1.3
1373475,78,95,14303214,14,213,1,4,0.96
24775601,42,107,3498719,54,114,2,8,1.6
45026457,10,91,31621943,13,96,3,53,0.25
33995753,64,93,45186811,67,96,2,8,0.52
6013261,3,79,3878912,61,100,2,9,1.38
65078636,5,77,48817563,291,203,1,5,3.2
26629358,78,96,30460780,133,97,2,7,0.23
18795280,13,98,168254,273,195,4,1640,0.43
1346106,314,126,3828728,27,80,2,7,1.74
46746303,16,93,788773,68,84,2,8,0.98
11755758,44,145,42329290,0,275,3,8,0.14
9032086,117,139,965478,94,80,2,9,2.68
49180370,31,96,644119,70,88,2,8,1.25
37030382,9,95,21192359,135,190,1,4,0.01
5407120,6,289,18326975,85,110,3,331,2.25
51149660,79,94,8664309,113,115,2,8,1.5
53257,1613,406,18534285,1849,103,2,17,2.03
59423570,0,82,21044137,105,100,1,4,2.0
491851,344,465,525407,206,173,2,10,0.16
16688711,79,82,18875641,86,83,3,528,0.67
15241485,11,110,156928,6,97,2,8,2.16
9566605,6,154,99536,109,134,3,471,0.46
26104950,44,106,2444468,465,244,3,452,1.01
1703973,83,98,7531440,15,152,4,498,1.82
5880789,167,225,144068,79,101,2,8,0.79
699497,43,78,74961,224,334,2,8,1.22
66885340,2,90,5507600,72,125,4,578,0.79
7432146,160,108,59646591,8,78,1,4,1.93
22133,233,80,64174066,14,2745,1,4,1.63
36938854,19,100,3020536,86,80,4,780,1.63
39206542,9,87,578468,2490,567,2,17,0.7
9211329,32,208,21658654,6,116,3,30,1.83
211960,270,131,19713639,76,123,4,777,0.69
528951,411,102,26350933,11,78,3,52,0.24
240694,118,164,5945134,21,81,4,714,0.71
12364615,195,219,18519504,201,187,1,4,0.67
427626,425,161,24500545,8,90,3,34,0.18
2247269,178,85,13901207,48,79,3,254,0.1
362892,293,168,2462583,212,165,1,6,1.98
1867624,674,102,332388,249,158,2,12,1.64
18824506,31,194,58397418,9,240,1,6,0.69
48136499,4,110,34350,1881,665,2,18,0.44
35802409,59,183,24479628,35,78,4,1126,1.69
47324020,173,126,29596792,26,84,4,759,2.69
3333893,116,88,4417664,74,79,1,5,2.17
33581515,7,88,1444832,53,85,3,281,0.88
57957913,47,151,16802,112,79,2,11,0.85
56148,1568,279,20033992,21,107,3,96,0.55
60083,140,85,49968090,31,166,3,137,3.16
428653,110,153,6622502,53,103,1,5,1.4
